,Sample,OD1,OD2,AverageOD,CorrectedOD,Concentration (ng/ml)
0,Sample1,0.493,0.391,0.442,0.3195,1.974521410845016
1,Sample2,0.33,0.345,0.3375,0.21500000000000002,0.8650392122390783
2,Sample3,0.337,0.387,0.362,0.2395,1.078872295880318
3,Sample4,0.372,0.366,0.369,0.2465,1.1447046813605606
4,Sample5,0.208,0.394,0.301,0.1785,0.5909627471125868
5,Sample6,0.396,0.372,0.384,0.2615,1.29326439802303
6,Sample7,0.378,0.359,0.3685,0.246,1.139929992941295
7,Sample8,0.317,0.356,0.3365,0.21400000000000002,0.8568394689421472
8,Sample9,0.456,0.502,0.479,0.3565,2.5128211200850177
9,Sample10,0.509,0.387,0.448,0.3255,2.055799392614937
10,BLANK,0.11,0.135,0.1225,0.0,0.0
